,nombre_proyecto,moneda,precio,tamaño,dormitorios,baños,unidades_disp,link
11,Edificio Caiquén,UF,1596,24 a 47 m² útiles,1 a 2 dormitorios,1 a 2 baños,27 unidades disponibles,https://www.portalinmobiliario.com/MLC-1610185172-edificio-caiquen-_JM#position=12&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
12,Espoz Jardín del Este,UF,20940,115 a 139 m² útiles,2 a 3 dormitorios,3 baños,16 unidades disponibles,https://www.portalinmobiliario.com/MLC-1560900496-espoz-jardin-del-este-_JM#position=13&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
13,Portal Mirador,UF,2302,34 a 58 m² útiles,1 a 3 dormitorios,1 a 2 baños,94 unidades disponibles,https://www.portalinmobiliario.com/MLC-2268981286-portal-mirador-_JM#position=14&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
14,Condell,UF,3240,53 a 71 m² útiles,2 a 3 dormitorios,2 baños,32 unidades disponibles,https://www.portalinmobiliario.com/MLC-1393397453-condell-_JM#position=15&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
15,Lyon 394,UF,9890,78 a 85 m² útiles,2 dormitorios,2 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1445934803-lyon-394-_JM#position=16&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
16,Edificio Nativa,UF,8674,99 a 100 m² útiles,3 dormitorios,3 baños,2 unidades disponibles,https://www.portalinmobiliario.com/MLC-1374694637-edificio-nativa-_JM#position=17&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
17,Edificio Vista Horizonte,UF,2100,32 a 50 m² útiles,1 a 2 dormitorios,1 a 2 baños,4 unidades disponibles,https://www.portalinmobiliario.com/MLC-1569107040-edificio-vista-horizonte-_JM#position=18&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
18,Edificio Gran Marino,UF,3215,40 a 84 m² útiles,1 a 3 dormitorios,1 a 2 baños,40 unidades disponibles,https://www.portalinmobiliario.com/MLC-1421251449-edificio-gran-marino-_JM#position=19&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
19,Cumbres de Curauma,UF,2650,69 a 79 m² útiles,3 dormitorios,2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-1135729047-cumbres-de-curauma-_JM#position=20&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
20,Fuchslocher 1.170,UF,1600,32 a 54 m² útiles,1 a 3 dormitorios,1 baño,5 unidades disponibles,https://www.portalinmobiliario.com/MLC-1735748014-fuchslocher-1170-_JM#position=21&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
21,Parque Brasil,UF,2045,37 a 62 m² útiles,1 a 3 dormitorios,1 a 2 baños,6 unidades disponibles,https://www.portalinmobiliario.com/MLC-999096265-parque-brasil-_JM#position=22&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
22,Distrito Ñuñoa,UF,2895,24 a 107 m² útiles,1 a 3 dormitorios,1 a 2 baños,20 unidades disponibles,https://www.portalinmobiliario.com/MLC-1375493951-distrito-nunoa-_JM#position=23&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
23,Santa María 8700,UF,16500,160 a 272 m² útiles,3 a 4 dormitorios,3 a 4 baños,7 unidades disponibles,https://www.portalinmobiliario.com/MLC-1576937166-santa-maria-8700-_JM#position=24&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
24,Puerta Costanera,UF,21900,141 m² útiles,2 dormitorios,3 baños,1 unidad disponible,https://www.portalinmobiliario.com/MLC-994637945-puerta-costanera-_JM#position=25&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
25,Mirador Oceánico,UF,2945,34 a 134 m² útiles,1 a 3 dormitorios,1 a 3 baños,11 unidades disponibles,https://www.portalinmobiliario.com/MLC-1375206253-mirador-oceanico-_JM#position=26&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
26,Edificio Arrau,UF,1630,20 a 68 m² útiles,1 a 3 dormitorios,1 a 2 baños,38 unidades disponibles,https://www.portalinmobiliario.com/MLC-560423898-edificio-arrau-_JM#position=27&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
27,Edificio Arqdomus,UF,9959,72 a 149 m² útiles,2 a 3 dormitorios,2 a 3 baños,17 unidades disponibles,https://www.portalinmobiliario.com/MLC-1386943323-edificio-arqdomus-_JM#position=28&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
28,Holanda 1101,UF,8449,60 a 99 m² útiles,2 a 3 dormitorios,2 a 3 baños,17 unidades disponibles,https://www.portalinmobiliario.com/MLC-1727901846-holanda-1101-_JM#position=29&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
29,Edificio Avda. Perú Plaza,UF,2525,31 a 73 m² útiles,1 a 3 dormitorios,1 a 2 baños,19 unidades disponibles,https://www.portalinmobiliario.com/MLC-1873911272-edificio-avda-peru-plaza-_JM#position=30&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
30,Edificio San Cristóbal,UF,2253,28 a 78 m² útiles,1 a 3 dormitorios,1 a 2 baños,34 unidades disponibles,https://www.portalinmobiliario.com/MLC-1378393695-edificio-san-cristobal-_JM#position=31&search_layout=grid&type=item&tracking_id=d1161269-4843-4ec5-af51-0d4022d5b8cc
